objfcn	feasible	standins	maxmin
25193	25200	106	1
27593	27600	108	1
28393	28400	108	1
29193	29200	109	1
29193	29200	104	1
27993	28000	104	1
23999	24000	99	0
24798	24800	100	0
24798	24800	100	0
27199	27200	98	0
26399	26400	97	0
25599	25600	95	0
26399	26400	96	0
25999	26000	96	0
25999	26000	96	0
27599	27600	96	0
28399	28400	97	0
26799	26800	95	0
25999	26000	93	0
27199	27200	95	0
28799	28800	97	0
45999	46000	97	0
46399	46400	97	0
29199	29200	97	0
26799	26800	96	0
29199	29200	97	0
26399	26400	95	0
25999	26000	94	0
26799	26800	92	0
27599	27600	91	0
42599	42600	90	0
40999	41000	88	0
39399	39400	89	0
39399	39400	88	0
40599	40600	89	0
41399	41400	89	0
63799	63800	92	0
60599	60600	88	0
61399	61400	88	0
59799	59800	88	0
38999	39000	88	0
41399	41400	87	0
42199	42200	89	0
43399	43400	87	0
41799	41800	86	0
40199	40200	86	0
55199	55200	86	0
55999	56000	87	0
53599	53600	87	0
54399	54400	88	0
54399	54400	89	0
54399	54400	88	0
55199	55200	89	0
40999	41000	91	0
42599	42600	92	0
43799	43800	91	0
42199	42200	91	0
41399	41400	91	0
41399	41400	91	0
39799	39800	90	0
39799	39800	86	0
40999	41000	86	0
40999	41000	84	0
42599	42600	84	0
42999	43000	82	0
44999	45000	84	0
44199	44200	83	0
39799	39800	77	0
38999	39000	77	0
38199	38200	76	0
23199	23200	76	0
24799	24800	78	0
24799	24800	79	0
24799	24800	80	0
25599	25600	80	0
25999	26000	78	0
26799	26800	79	0
25199	25200	80	0
26799	26800	82	0
28399	28400	84	0
29199	29200	82	0
32399	32400	85	0
32799	32800	86	0
33999	34000	84	0
13999	14000	82	0
