objfcn	feasible	standins	maxmin
54193	54200	103	1
52993	53000	102	1
53798	53800	103	0
38798	38800	104	0
41998	42000	104	0
41598	41600	104	0
38798	38800	101	0
39598	39600	101	0
36799	36800	98	0
39598	39600	101	0
36399	36400	96	0
37199	37200	94	0
38799	38800	95	0
61199	61200	97	0
57999	58000	95	0
74599	74600	96	0
75399	75400	96	0
74599	74600	95	0
72599	72600	92	0
92599	92600	92	0
74199	74200	94	0
70999	71000	90	0
56799	56800	91	0
54399	54400	89	0
55599	55600	88	0
56799	56800	88	0
59199	59200	90	0
57599	57600	87	0
59599	59600	87	0
58399	58400	86	0
55999	56000	85	0
55999	56000	85	0
55999	56000	85	0
55999	56000	85	0
56799	56800	85	0
56799	56800	85	0
57599	57600	86	0
57599	57600	88	0
76799	76800	87	0
77999	78000	88	0
77599	77600	89	0
78399	78400	92	0
64599	64600	94	0
63399	63400	94	0
63399	63400	94	0
63399	63400	95	0
63799	63800	94	0
61399	61400	91	0
61399	61400	91	0
78999	79000	92	0
80999	81000	93	0
83399	83400	92	0
83799	83800	92	0
81799	81800	90	0
65399	65400	90	0
64199	64200	87	0
63399	63400	86	0
62599	62600	85	0
62599	62600	85	0
62599	62600	85	0
62599	62600	85	0
60999	61000	84	0
60999	61000	86	0
60199	60200	85	0
61799	61800	84	0
60599	60600	83	0
58999	59000	82	0
60599	60600	82	0
58999	59000	79	0
59399	59400	80	0
60599	60600	81	0
75599	75600	84	0
77199	77200	86	0
80199	80200	86	0
83399	83400	87	0
64199	64200	87	0
65399	65400	88	0
63799	63800	88	0
62999	63000	89	0
65399	65400	92	0
62999	63000	92	0
63799	63800	91	0
62999	63000	90	0
63799	63800	91	0
58999	59000	87	0
59399	59400	88	0
59399	59400	88	0
60999	61000	89	0
61799	61800	89	0
61799	61800	89	0
60199	60200	87	0
60599	60600	87	0
59799	59800	86	0
58999	59000	86	0
59799	59800	86	0
58999	59000	83	0
58999	59000	84	0
60599	60600	86	0
75599	75600	86	0
90399	90400	84	0
91999	92000	84	0
73999	74000	88	0
73199	73200	88	0
73199	73200	88	0
73999	74000	90	0
73199	73200	90	0
73999	74000	91	0
73999	74000	91	0
53999	54000	92	0
52799	52800	91	0
54399	54400	91	0
53599	53600	89	0
56799	56800	91	0
55999	56000	90	0
56799	56800	92	0
38399	38400	93	0
37199	37200	92	0
37999	38000	94	0
23399	23400	94	0
24999	25000	94	0
57999	58000	94	0
38799	38800	91	0
39599	39600	91	0
38799	38800	92	0
37999	38000	91	0
36399	36400	89	0
18599	18600	90	0
17799	17800	89	0
18599	18600	91	0
16599	16600	89	0
15799	15800	89	0
17399	17400	92	0
18599	18600	93	0
17399	17400	92	0
19799	19800	95	0
21199	21200	95	0
21199	21200	93	0
21999	22000	94	0
43599	43600	96	0
44399	44400	97	0
42799	42800	92	0
42799	42800	93	0
41199	41200	93	0
27999	28000	94	0
25599	25600	93	0
25599	25600	93	0
26799	26800	94	0
5999	6000	93	0
5999	6000	93	0
5199	5200	92	0
5199	5200	92	0
5199	5200	92	0
5199	5200	92	0
5199	5200	92	0
5199	5200	92	0
5199	5200	92	0
5199	5200	92	0
4399	4400	91	0
3999	4000	91	0
3199	3200	90	0
3199	3200	90	0
2399	2400	90	0
2399	2400	90	0
2399	2400	90	0
2399	2400	90	0
2399	2400	90	0
2399	2400	90	0
2399	2400	90	0
2399	2400	90	0
2399	2400	89	0
2399	2400	89	0
2399	2400	89	0
2399	2400	89	0
2399	2400	89	0
2399	2400	89	0
2399	2400	89	0
2399	2400	89	0
2399	2400	89	0
1599	1600	88	0
1599	1600	88	0
1599	1600	88	0
1599	1600	88	0
1599	1600	88	0
1599	1600	88	0
1599	1600	88	0
1599	1600	88	0
1599	1600	88	0
1599	1600	88	0
1599	1600	88	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
799	800	87	0
