objfcn	feasible	standins	maxmin
21798	21800	110	0
40598	40600	112	0
40998	41000	113	0
60198	60200	112	0
60198	60200	112	0
59398	59400	111	0
58998	59000	111	0
60198	60200	112	0
73398	73400	106	0
57398	57400	107	0
56598	56600	106	0
56198	56200	106	0
55393	55400	105	1
56993	57000	107	1
58593	58600	109	1
56993	57000	107	1
40593	40600	108	1
40593	40600	109	1
40593	40600	109	1
40593	40600	108	1
42193	42200	109	1
41393	41400	109	1
42993	43000	107	1
42193	42200	109	1
42193	42200	109	1
42193	42200	109	1
41398	41400	108	0
43798	43800	111	0
40398	40400	105	0
38998	39000	105	0
25598	25600	106	0
24798	24800	106	0
25598	25600	105	0
26393	26400	103	1
27193	27200	104	1
26393	26400	102	1
26393	26400	102	1
25593	25600	102	1
27593	27600	104	1
28393	28400	105	1
29993	30000	106	1
28393	28400	104	1
30793	30800	107	1
28393	28400	103	1
30393	30400	101	1
31199	31200	98	0
11999	12000	99	0
9599	9600	97	0
2631781	2631800	489	2
2313382	2313400	447	2
1980182	1980200	407	2
1754183	1754200	370	2
1642983	1643000	354	2
1530184	1530200	341	2
1415784	1415800	324	2
1187584	1187600	304	2
1126385	1126400	296	2
1126385	1126400	296	2
1067185	1067200	277	2
938396	938400	237	0
819996	820000	200	0
707197	707200	192	0
706797	706800	192	0
706397	706400	192	0
704397	704400	192	0
704397	704400	192	0
703997	704000	192	0
595397	595400	172	0
594997	595000	173	0
594997	595000	173	0
624997	625000	173	0
511797	511800	152	0
511797	511800	152	0
326598	326600	116	0
150599	150600	97	0
152199	152200	98	0
153799	153800	98	0
152199	152200	97	0
89599	89600	97	0
93599	93600	99	0
76599	76600	99	0
60998	61000	100	0
60998	61000	100	0
52999	53000	91	0
49399	49400	88	0
49399	49400	86	0
50799	50800	86	0
39199	39200	87	0
40399	40400	86	0
41999	42000	88	0
30999	31000	91	0
28999	29000	89	0
30599	30600	91	0
47199	47200	92	0
45999	46000	93	0
44799	44800	88	0
44799	44800	88	0
43999	44000	85	0
