objfcn	feasible	standins	maxmin
20398	20400	104	0
21198	21200	104	0
40598	40600	108	0
39398	39400	108	0
38598	38600	112	0
40798	40800	118	0
42398	42400	119	0
42398	42400	119	0
26598	26600	118	0
26598	26600	118	0
23798	23800	118	0
25398	25400	120	0
26998	27000	117	0
5598	5600	110	0
2639381	2639400	498	2
2526581	2526600	485	2
2186582	2186600	432	2
1850183	1850200	376	2
1661583	1661600	363	2
1566384	1566400	348	2
1322384	1322400	301	2
1322384	1322400	301	2
1157585	1157600	286	2
1153585	1153600	286	2
1040385	1040400	266	2
997185	997200	262	2
884786	884800	242	2
883186	883200	242	2
758386	758400	214	2
757986	758000	214	2
757986	758000	214	2
726392	726400	177	1
618992	619000	158	1
618592	618600	158	1
524193	524200	139	1
509393	509400	122	1
399393	399400	113	1
288199	288200	95	0
182199	182200	89	0
117399	117400	84	0
118999	119000	86	0
37599	37600	77	0
36399	36400	76	0
38799	38800	80	0
37599	37600	81	0
53999	54000	80	0
38799	38800	81	0
38399	38400	81	0
40799	40800	83	0
43999	44000	84	0
41599	41600	80	0
43599	43600	82	0
43599	43600	82	0
43599	43600	82	0
43599	43600	84	0
38799	38800	83	0
37999	38000	83	0
38799	38800	84	0
35599	35600	81	0
36399	36400	82	0
35599	35600	82	0
36399	36400	83	0
35599	35600	82	0
57199	57200	85	0
56399	56400	83	0
54799	54800	82	0
54799	54800	79	0
55599	55600	79	0
56399	56400	81	0
37799	37800	87	0
37799	37800	87	0
38599	38600	88	0
39399	39400	87	0
39799	39800	89	0
39399	39400	89	0
39399	39400	89	0
40199	40200	89	0
38599	38600	84	0
40999	41000	87	0
38999	39000	84	0
40399	40400	84	0
25599	25600	87	0
25599	25600	85	0
26799	26800	87	0
26799	26800	88	0
26399	26400	88	0
24799	24800	87	0
25599	25600	85	0
25599	25600	85	0
27599	27600	87	0
28399	28400	87	0
25599	25600	85	0
26799	26800	86	0
25599	25600	87	0
23999	24000	91	0
23199	23200	91	0
24799	24800	91	0
24799	24800	89	0
23999	24000	89	0
23599	23600	88	0
4399	4400	88	0
2552380	2552400	501	2
2412786	2412800	477	1
2283987	2284000	441	1
2063988	2064000	394	1
1879188	1879200	364	1
1558389	1558400	317	1
1505189	1505200	306	1
1503589	1503600	305	1
1373190	1373200	266	1
1317591	1317600	247	1
1093196	1093200	223	0
978796	978800	204	0
977996	978000	204	0
863197	863200	189	0
752997	753000	190	0
639797	639800	171	0
639797	639800	171	0
639397	639400	171	0
517798	517800	143	0
409398	409400	134	0
406998	407000	134	0
297398	297400	118	0
282998	283000	121	0
281398	281400	120	0
282198	282200	121	0
282198	282200	121	0
200398	200400	119	0
180198	180200	112	0
80398	80400	105	0
79798	79800	106	0
81798	81800	110	0
16998	17000	102	0
17398	17400	100	0
20598	20600	104	0
21398	21400	105	0
20198	20200	103	0
20998	21000	103	0
20198	20200	103	0
20998	21000	104	0
54198	54200	105	0
52598	52600	105	0
72598	72600	104	0
73398	73400	104	0
58398	58400	106	0
56398	56400	104	0
55598	55600	105	0
40198	40200	105	0
41798	41800	107	0
41798	41800	108	0
40998	41000	106	0
40998	41000	105	0
41798	41800	105	0
20998	21000	103	0
20998	21000	103	0
20998	21000	104	0
23998	24000	104	0
24398	24400	104	0
25598	25600	104	0
24198	24200	104	0
22998	23000	103	0
22593	22600	103	1
22593	22600	103	1
24193	24200	104	1
9993	10000	103	1
9993	10000	103	1
8793	8800	102	1
7993	8000	101	1
7993	8000	101	1
7193	7200	100	1
7193	7200	100	1
7193	7200	100	1
6394	6400	99	1
6394	6400	99	1
5594	5600	98	1
5594	5600	98	1
5594	5600	98	1
5594	5600	98	1
5594	5600	98	1
5594	5600	98	1
5594	5600	98	1
5594	5600	98	1
5194	5200	98	1
5194	5200	98	1
5194	5200	98	1
5194	5200	98	1
5194	5200	98	1
5194	5200	98	1
5194	5200	98	1
5194	5200	98	1
4794	4800	98	1
3994	4000	97	1
3994	4000	97	1
3994	4000	97	1
3994	4000	97	1
3994	4000	97	1
3194	3200	97	1
3194	3200	97	1
3194	3200	97	1
3194	3200	97	1
3194	3200	97	1
3194	3200	97	1
3194	3200	97	1
3194	3200	97	1
3194	3200	97	1
3194	3200	97	1
3194	3200	97	1
3194	3200	97	1
3194	3200	97	1
3194	3200	97	1
3194	3200	97	1
3194	3200	97	1
3194	3200	97	1
3194	3200	97	1
3194	3200	97	1
3194	3200	97	1
3194	3200	97	1
2394	2400	96	1
2394	2400	96	1
2394	2400	96	1
2394	2400	96	1
2394	2400	96	1
2394	2400	96	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
794	800	94	1
