objfcn	feasible	standins	maxmin
38599	38600	93	0
37399	37400	96	0
19999	20000	95	0
24399	24400	98	0
24399	24400	98	0
4399	4400	97	0
2647380	2647400	518	2
2502986	2503000	466	1
2390187	2390200	448	1
2157987	2158000	428	1
1930387	1930400	400	1
1593994	1594000	348	0
1367994	1368000	310	0
1230395	1230400	286	0
997995	998000	258	0
849996	850000	215	0
725997	726000	188	0
668797	668800	169	0
667197	667200	169	0
667197	667200	170	0
667597	667600	170	0
595197	595200	159	0
595997	596000	159	0
595197	595200	159	0
485998	486000	145	0
373998	374000	127	0
375193	375200	129	1
363593	363600	116	1
365193	365200	118	1
364393	364400	118	1
365193	365200	118	1
366793	366800	115	1
365993	366000	115	1
359793	359800	106	1
297193	297200	105	1
198594	198600	98	1
198594	198600	97	1
197194	197200	97	1
197994	198000	98	1
92394	92400	97	1
93994	94000	98	1
93194	93200	97	1
92399	92400	96	0
91599	91600	95	0
75999	76000	96	0
75199	75200	95	0
76599	76600	95	0
80598	80600	100	0
82998	83000	102	0
78398	78400	101	0
65798	65800	101	0
64998	65000	100	0
62999	63000	99	0
62999	63000	98	0
62999	63000	98	0
62999	63000	98	0
61399	61400	96	0
59799	59800	94	0
60599	60600	94	0
61799	61800	95	0
17399	17400	90	0
18799	18800	90	0
18199	18200	90	0
17799	17800	92	0
18599	18600	94	0
18999	19000	94	0
17799	17800	93	0
20999	21000	92	0
20999	21000	91	0
22599	22600	96	0
21799	21800	95	0
20999	21000	95	0
21799	21800	93	0
40999	41000	93	0
42199	42200	93	0
42199	42200	93	0
41399	41400	94	0
41399	41400	93	0
40599	40600	93	0
40599	40600	93	0
41799	41800	94	0
24999	25000	97	0
26599	26600	99	0
24999	25000	98	0
26199	26200	99	0
24199	24200	96	0
21399	21400	93	0
20599	20600	92	0
20599	20600	92	0
22999	23000	96	0
22199	22200	95	0
21399	21400	92	0
18199	18200	94	0
16599	16600	92	0
18199	18200	94	0
19799	19800	95	0
19799	19800	95	0
19799	19800	93	0
22199	22200	96	0
20599	20600	92	0
5599	5600	89	0
5599	5600	89	0
5599	5600	89	0
5599	5600	89	0
5599	5600	89	0
5599	5600	89	0
5599	5600	89	0
5599	5600	89	0
5599	5600	89	0
5599	5600	89	0
5599	5600	89	0
4799	4800	88	0
3999	4000	87	0
3999	4000	87	0
3999	4000	87	0
3999	4000	87	0
3999	4000	87	0
3999	4000	87	0
3199	3200	86	0
3199	3200	86	0
3199	3200	86	0
3199	3200	86	0
3199	3200	86	0
3199	3200	86	0
3199	3200	86	0
1599	1600	86	0
799	800	85	0
799	800	85	0
799	800	85	0
799	800	85	0
799	800	85	0
799	800	85	0
799	800	85	0
799	800	85	0
799	800	85	0
799	800	85	0
799	800	85	0
799	800	85	0
799	800	85	0
