objfcn	feasible	standins	maxmin
39993	40000	116	1
39993	40000	116	1
23993	24000	118	1
23193	23200	117	1
22798	22800	118	0
25198	25200	121	0
25993	26000	120	1
25993	26000	120	1
39993	40000	107	1
23998	24000	106	0
6398	6400	105	0
6398	6400	105	0
6398	6400	105	0
5598	5600	104	0
5598	5600	104	0
5598	5600	104	0
5598	5600	104	0
3998	4000	102	0
3998	4000	102	0
3998	4000	102	0
3998	4000	102	0
3998	4000	102	0
3998	4000	102	0
3598	3600	102	0
3598	3600	102	0
2798	2800	101	0
2798	2800	101	0
2798	2800	101	0
2798	2800	101	0
2798	2800	101	0
2798	2800	101	0
2798	2800	101	0
2398	2400	101	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
15799	15800	99	0
799	800	99	0
799	800	99	0
799	800	99	0
