Worker:2
Weekend:0
0 0 1 0 3 0 0    0 0 0 3 3 0 0    0 0 0 0 0 0 0    0 0 0 0 0 0 0    0 0 0 0 0 0 0    
0 0 0 0 0 0 0    0 0 0 0 0 0 0    0 0 0 3 0 0 0    3 0 0 0 3 0 0    0 0 3 3 0 0 0    
3 0 0 0 0 0 0    0 0 0 0 0 0 0    3 0 3 0 0 0 0    0 0 3 0 0 0 0    0 0 0 0 3 0 0    
0 3 0 0 0 0 0    0 1 0 0 0 0 0    0 1 0 0 0 0 0    0 3 0 0 0 0 0    0 3 0 0 0 0 0    


**************************************************************************************
Worker:3
Weekend:1
3 0 0 0 0 0 0    2 0 0 0 0 0 0    0 0 0 3 3 0 0    0 0 0 0 0 0 0    0 0 3 3 0 0 0    
0 0 0 0 0 0 0    0 0 0 3 0 0 0    3 0 0 0 0 0 0    0 0 0 3 0 0 0    0 0 0 0 0 0 0    
0 0 3 0 0 0 0    0 0 3 0 0 0 0    0 0 0 0 0 0 0    3 0 0 0 3 0 0    3 0 0 0 0 0 0    
0 3 0 0 3 0 0    0 3 0 0 0 0 0    0 3 0 0 0 0 0    0 3 0 0 0 0 0    0 1 0 0 0 0 0    


**************************************************************************************
Worker:4
Weekend:1
0 0 0 0 0 0 0    0 3 1 0 0 0 0    0 0 0 0 0 0 0    0 0 0 0 0 0 0    0 0 0 0 3 0 0    
3 0 3 0 0 0 0    0 0 0 3 0 0 0    0 0 0 0 3 0 0    0 0 3 0 3 0 0    0 0 3 0 0 0 0    
0 3 0 0 0 0 0    3 0 0 0 0 0 0    0 0 0 0 0 0 0    3 0 0 0 0 0 0    0 0 0 0 0 0 0    
0 0 0 3 0 0 0    0 0 0 0 0 0 0    0 0 0 0 0 0 0    0 0 0 3 0 0 0    0 0 0 3 0 0 0    


**************************************************************************************
Worker:5
Weekend:3
0 0 0 0 2 0 0    0 0 0 0 0 0 0    0 0 0 0 0 3 3    0 0 0 0 0 0 0    0 0 0 0 3 0 0    
0 3 0 3 0 0 0    0 0 0 1 3 0 0    0 3 0 0 0 0 0    0 0 0 0 0 0 0    0 0 0 0 0 0 0    
0 0 0 0 0 0 0    0 3 0 0 0 0 0    0 0 0 0 0 0 0    0 0 0 0 0 0 0    0 3 0 0 0 0 0    
0 0 1 0 0 0 0    0 0 1 0 0 0 0    0 0 3 0 3 0 0    0 0 1 0 0 0 0    0 0 3 0 0 0 0    


**************************************************************************************
Worker:7
Weekend:2
0 3 0 3 0 0 0    0 0 0 0 0 0 0    0 3 0 2 0 0 0    0 0 0 0 0 0 0    0 0 0 0 0 0 0    
