Weekday count, Avail day ass, Avail day lib, Num full ass, num full lib.
1,8,17,9.33333,18.6667
2,7,13,9,14.6667
3,9,16,9.33333,17.5
4,8,13,10.3333,16.5
5,8,14,9.33333,15.1667
6,8,17,8.33333,18.6667
7,7,12,9,14.3333
8,9,16,9.33333,17.5
9,9,12,10.6667,15.8333
10,9,15,9.66667,16.3333
11,8,16,9.33333,17
12,7,13,9,14.6667
13,9,16,9.33333,17.5
14,7,12,9.33333,16.1667
15,7,15,8.33333,15.5
16,6,16,7.33333,17.6667
17,7,13,9,14.6667
18,9,16,9.33333,17.5
19,8,12,9.66667,14.5
20,7,14,8.33333,15.3333
21,6,17,7.33333,18
22,7,14,9,15.6667
23,9,16,9.33333,17.5
24,9,13,10.6667,16.1667
25,6,14,7.33333,15.1667
