Shift count, Avail ass, Avail lib
1,8,18
2,8,18
3,9,16
4,10,16
5,9,16
6,8,14
7,10,17
8,9,17
9,9,18
10,12,15
11,11,15
12,9,17
13,11,14
14,11,14
15,8,14
16,8,19
17,8,19
18,8,18
19,10,15
20,9,15
21,8,14
22,10,17
23,9,17
24,9,18
25,11,15
26,10,15
27,7,18
28,8,14
29,8,14
30,7,15
31,9,17
32,9,17
33,10,15
34,10,15
35,9,15
36,8,14
37,10,17
38,9,17
39,9,18
40,11,15
41,10,15
42,7,19
43,8,15
44,8,15
45,6,15
46,8,19
47,8,19
48,9,18
49,10,15
50,9,15
51,8,14
52,10,17
53,9,17
54,9,18
55,12,15
56,11,15
57,9,17
58,10,16
59,10,16
60,8,16
61,7,18
62,7,18
63,9,16
64,10,15
65,9,15
66,8,14
67,10,17
68,9,17
69,9,18
70,12,13
71,11,13
72,9,18
73,9,17
74,9,17
75,8,17
