Objfunval, num stand ins, stand in cost, it num, num stand ins AMPL, AMPL cost
 33.9453  , (3, 0)  , 6   , 0) (3, 0)  , 6
 33.9551  , (2, 0)  , 4   , 1) (1, 2)  , 4
 33.9551  , (3, 0)  , 6   , 2) (3, 0)  , 6
 33.9551  , (3, 0)  , 6   , 3) (3, 0)  , 6
 33.9551  , (2, 0)  , 4   , 4) (1, 2)  , 4
 33.9551  , (3, 0)  , 6   , 5) (3, 0)  , 6
 33.9551  , (3, 0)  , 6   , 6) (3, 0)  , 6
 33.9551  , (3, 0)  , 6   , 7) (3, 0)  , 6
 33.9453  , (3, 0)  , 6   , 8) (3, 0)  , 6
 33.9551  , (2, 0)  , 4   , 9) (2, 0)  , 4
 33.9453  , (2, 0)  , 4   , 10) (1, 2)  , 4
 33.9453  , (2, 2)  , 6   , 11) (3, 0)  , 6
 33.9453  , (2, 2)  , 6   , 12) (3, 0)  , 6
 33.9453  , (3, 0)  , 6   , 13) (3, 0)  , 6
 33.9453  , (3, 0)  , 6   , 14) (3, 0)  , 6
 33.9453  , (1, 4)  , 6   , 15) (2, 2)  , 6
 33.9531  , (2, 0)  , 4   , 16) (1, 2)  , 4
 33.9551  , (2, 0)  , 4   , 17) (2, 0)  , 4
 33.9453  , (2, 1)  , 5   , 18) (3, 0)  , 6
 33.9453  , (3, 0)  , 6   , 19) (3, 0)  , 6
 33.9453  , (3, 0)  , 6   , 20) (3, 0)  , 6
 33.9531  , (2, 2)  , 6   , 21) (2, 2)  , 6
 33.9551  , (3, 0)  , 6   , 22) (2, 2)  , 6
 33.9551  , (3, 0)  , 6   , 23) (3, 0)  , 6
 33.9531  , (2, 2)  , 6   , 24) (3, 0)  , 6
 33.9551  , (2, 1)  , 5   , 25) (3, 0)  , 6
 33.9453  , (3, 0)  , 6   , 26) (3, 0)  , 6
 33.9551  , (3, 0)  , 6   , 27) (3, 0)  , 6
 33.9453  , (3, 0)  , 6   , 28) (3, 0)  , 6
 33.9551  , (3, 0)  , 6   , 29) (3, 0)  , 6
 33.9453  , (2, 2)  , 6   , 30) (3, 0)  , 6
 33.9551  , (3, 0)  , 6   , 31) (3, 0)  , 6
 33.9551  , (3, 0)  , 6   , 32) (3, 0)  , 6
 33.9551  , (3, 0)  , 6   , 33) (3, 0)  , 6
 33.9551  , (1, 4)  , 6   , 34) (3, 0)  , 6
 33.9551  , (3, 0)  , 6   , 35) (3, 0)  , 6
 33.9551  , (2, 0)  , 4   , 36) (2, 0)  , 4
 33.9453  , (3, 0)  , 6   , 37) (3, 0)  , 6
 33.9531  , (3, 0)  , 6   , 38) (3, 0)  , 6
 33.9453  , (3, 0)  , 6   , 39) (3, 0)  , 6
 33.9551  , (3, 0)  , 6   , 40) (3, 0)  , 6
 33.9453  , (2, 1)  , 5   , 41) (3, 0)  , 6
 33.9453  , (3, 0)  , 6   , 42) (3, 0)  , 6
 33.9551  , (3, 0)  , 6   , 43) (2, 2)  , 6
 33.9551  , (3, 0)  , 6   , 44) (3, 0)  , 6
 33.9531  , (3, 0)  , 6   , 45) (3, 0)  , 6
 33.9551  , (3, 0)  , 6   , 46) (3, 0)  , 6
 33.9551  , (3, 0)  , 6   , 47) (3, 0)  , 6
 33.9551  , (2, 0)  , 4   , 48) (2, 0)  , 4
 33.9551  , (3, 0)  , 6   , 49) (3, 0)  , 6
 33.9551  , (3, 0)  , 6   , 50) (3, 0)  , 6
 33.9551  , (2, 0)  , 4   , 51) (1, 2)  , 4
 33.9551  , (2, 0)  , 4   , 52) (1, 2)  , 4
