2016_5_24 18:15:5
With weights: 0.00980392, 0.00980392, 0.980392
Number of infeasible solutions:0
Min num lib/ass: (0) 2, 0. Cost: 4    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 34 Num stand ins (lib/ass): 3/0
Min num lib/ass: (1) 3, 0. Cost: 6    ObjFun value: 400, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 2/0
Min num lib/ass: (2) 2, 2. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (3) 2, 0. Cost: 4    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (4) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 2/2
Min num lib/ass: (5) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 1/4
Min num lib/ass: (6) 3, 0. Cost: 6    ObjFun value: 400, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 2/0
Min num lib/ass: (7) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (8) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (9) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (10) 2, 2. Cost: 6    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 1/4
Min num lib/ass: (11) 1, 2. Cost: 4    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (12) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (13) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (14) 2, 0. Cost: 4    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (15) 2, 0. Cost: 4    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (16) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 34 Num stand ins (lib/ass): 2/2
Min num lib/ass: (17) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (18) 2, 0. Cost: 4    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 2/2
Min num lib/ass: (19) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (20) 2, 0. Cost: 4    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 32 Num stand ins (lib/ass): 3/0
Min num lib/ass: (21) 2, 0. Cost: 4    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 34 Num stand ins (lib/ass): 2/2
Min num lib/ass: (22) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 2/2
Min num lib/ass: (23) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (24) 3, 0. Cost: 6    ObjFun value: 400, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 2/0
Min num lib/ass: (25) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (26) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 34 Num stand ins (lib/ass): 3/0
Min num lib/ass: (27) 2, 0. Cost: 4    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (28) 1, 2. Cost: 4    ObjFun value: 400, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 1/2
Min num lib/ass: (29) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (30) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
