Iterations 300 wend, 20 wday.

2016_5_25 17:11:31
With weights: 0.00980392, 0.00980392, 0.980392
Number of infeasible solutions:0
Min num lib/ass: (0) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (1) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (2) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 2/2
Min num lib/ass: (3) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (4) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (5) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (6) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (7) 2, 0. Cost: 4    ObjFun value: 400, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 2/0
Min num lib/ass: (8) 2, 2. Cost: 6    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (9) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (10) 2, 0. Cost: 4    ObjFun value: 400, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 2/0
Min num lib/ass: (11) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (12) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (13) 1, 2. Cost: 4    ObjFun value: 400, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 2/0
Min num lib/ass: (14) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 26, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (15) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (16) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 22, Shift avail: 27, Day avail: 32 Num stand ins (lib/ass): 3/0
Min num lib/ass: (17) 2, 2. Cost: 6    ObjFun value: 400, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 2/0
Min num lib/ass: (18) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (19) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (20) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (21) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 2/2
Min num lib/ass: (22) 1, 2. Cost: 4    ObjFun value: 400, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 2/0
Min num lib/ass: (23) 1, 2. Cost: 4    ObjFun value: 400, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 2/0
Min num lib/ass: (24) 1, 4. Cost: 6    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 2/2
Min num lib/ass: (25) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (26) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (27) 2, 0. Cost: 4    ObjFun value: 400, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 2/0
Min num lib/ass: (28) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (29) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (30) 2, 2. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (31) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (32) 2, 2. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (33) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (34) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (35) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (36) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (37) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (38) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (39) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (40) 2, 0. Cost: 4    ObjFun value: 400, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 2/0
Min num lib/ass: (41) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (42) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (43) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (44) 3, 0. Cost: 6    ObjFun value: 400, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 2/0
Min num lib/ass: (45) 2, 0. Cost: 4    ObjFun value: 400, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 2/0
Min num lib/ass: (46) 1, 2. Cost: 4    ObjFun value: 400, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 2/0
Min num lib/ass: (47) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (48) 3, 0. Cost: 6    ObjFun value: 500, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 2/1
Min num lib/ass: (49) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (50) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (51) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (52) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 2/2
Min num lib/ass: (53) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (54) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (55) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (56) 2, 0. Cost: 4    ObjFun value: 400, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 2/0
Min num lib/ass: (57) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (58) 2, 2. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (59) 2, 2. Cost: 6    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (60) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 1/4
Min num lib/ass: (61) 1, 2. Cost: 4    ObjFun value: 400, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 2/0
Min num lib/ass: (62) 1, 4. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
