Shift count, Avail ass, Avail lib
1,8,17
2,8,18
3,10,17
4,10,15
5,9,15
6,8,15
7,10,15
8,9,16
9,9,17
10,11,13
11,10,14
12,8,17
13,9,13
14,9,14
15,8,15
16,8,18
17,8,18
18,8,16
19,10,15
20,9,15
21,8,13
22,10,15
23,9,16
24,9,17
25,12,13
26,11,14
27,9,16
28,10,14
29,10,14
30,8,14
31,8,16
32,8,17
33,9,16
34,10,15
35,9,15
36,8,15
37,10,15
38,9,16
39,9,17
40,12,12
41,11,13
42,8,18
43,8,15
44,8,16
45,6,16
46,7,17
47,7,17
48,8,15
49,10,16
50,9,16
51,8,14
52,10,15
53,9,16
54,9,17
55,12,14
56,11,15
57,8,18
58,9,16
59,9,16
60,6,16
61,9,18
62,9,19
63,10,17
64,10,15
65,9,15
66,8,13
67,10,15
68,9,16
69,9,17
70,11,14
71,10,15
72,8,18
73,10,14
74,10,15
75,9,16
