2016_6_2 10:12:5
With weights: 0.00980392, 0.00980392, 0.980392
Number of infeasible solutions:0
Min num lib/ass: (0) 2, 0. Cost: 4    ObjFun value: 33.9551, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 9/6
Min num lib/ass: (1) 3, 0. Cost: 6    ObjFun value: 33.9551, Stand in cost: 24, Shift avail: 27, Day avail: 31 Num stand ins (lib/ass): 9/6
Min num lib/ass: (2) 2, 0. Cost: 4    ObjFun value: 33.9531, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 10/4
Min num lib/ass: (3) 3, 0. Cost: 6    ObjFun value: 33.9551, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 9/6
Min num lib/ass: (4) 2, 2. Cost: 6    ObjFun value: 33.9453, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 9/5
Min num lib/ass: (5) 3, 0. Cost: 6    ObjFun value: 33.9453, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 9/5
Min num lib/ass: (6) 1, 2. Cost: 4    ObjFun value: 33.9551, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 9/6
Min num lib/ass: (7) 3, 0. Cost: 6    ObjFun value: 33.9453, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 9/5
Min num lib/ass: (8) 3, 0. Cost: 6    ObjFun value: 33.9551, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 10/4
Min num lib/ass: (9) 3, 0. Cost: 6    ObjFun value: 33.9551, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 9/6
Min num lib/ass: (10) 3, 0. Cost: 6    ObjFun value: 33.9551, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 9/6
Min num lib/ass: (11) 3, 0. Cost: 6    ObjFun value: 33.9551, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 9/6
Min num lib/ass: (12) 2, 2. Cost: 6    ObjFun value: 33.9551, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 10/4
Min num lib/ass: (13) 2, 0. Cost: 4    ObjFun value: 33.9551, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 10/4
Min num lib/ass: (14) 3, 0. Cost: 6    ObjFun value: 33.9551, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 10/4
Min num lib/ass: (15) 3, 0. Cost: 6    ObjFun value: 33.9453, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 9/5
Min num lib/ass: (16) 3, 0. Cost: 6    ObjFun value: 33.9551, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 10/4
Min num lib/ass: (17) 2, 0. Cost: 4    ObjFun value: 33.9551, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 9/6
Min num lib/ass: (18) 2, 2. Cost: 6    ObjFun value: 33.9551, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 9/6
Min num lib/ass: (19) 3, 0. Cost: 6    ObjFun value: 33.9453, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 9/5

Average cost:5.5

